,Mediterranean,NativeAmerican,NorthEastAsian,NorthernEuropean,Oceanian,SouthAfrican,SouthEastAsian,SouthWestAsian,SubsaharanAfrican
Mediterranean,0.16487752568241446,0.09662101358006416,0.10230049925160069,0.15550069395431906,0.08658462082012604,0.08522665040861088,0.09612934866013832,0.12753299723411549,0.08522665040861088
NativeAmerican,0.11190059059575898,0.19095113802072938,0.13261482629140342,0.11201530429171173,0.08840878520195455,0.07838962714418707,0.09815460132294652,0.10917549998712117,0.07838962714418707
NorthEastAsian,0.11394750128220651,0.12754350396237132,0.183648977341721,0.11406431334679949,0.09002597851829247,0.07982354777547064,0.09995006729235985,0.1111725627053081,0.07982354777547064
NorthernEuropean,0.1553924300216067,0.0966527243670767,0.10233407403231189,0.16476273333716931,0.08661303768688881,0.08525462159271216,0.09616089808389269,0.12757485928562956,0.08525462159271216
Oceanian,0.11064650998740377,0.09755097042038192,0.10328511994146872,0.1107599380760077,0.2106970339457466,0.07751110710444167,0.10408625369057048,0.10795195972953721,0.07751110710444167
SouthAfrican,0.10805532218763428,0.08581605612634623,0.09086041493710831,0.10816609394772522,0.07690201545879302,0.20904135119351364,0.08537937322683652,0.1054238745595284,0.13035549836251445
SouthEastAsian,0.11421633931627113,0.10069829350635902,0.1066174460170459,0.11433342697730495,0.09677621979391815,0.0800118766586365,0.19589966728630034,0.11143485378552759,0.0800118766586365
SouthWestAsian,0.13302449432017846,0.09832714971445228,0.10410692387779726,0.13316086924928974,0.08811353409468098,0.08673158460964266,0.09782680296378575,0.1719770565605302,0.08673158460964266
SubsaharanAfrican,0.10805532218763428,0.08581605612634623,0.09086041493710831,0.10816609394772522,0.07690201545879302,0.13035549836251445,0.08537937322683652,0.1054238745595284,0.20904135119351364
